,state,bb,bb_all_rural,bb_rural,bb_urban,fcc,fcc_all_rural,fcc_rural,fcc_urban
0,AK,0.5466551282322049,0.1999081216730038,0.34608586501147176,0.6790947152192576,0.853349312833076,0.33400903878326993,0.7507322363763154,0.9703440672138615
1,AL,0.45598363409155246,0.08715797854556376,0.32539618480206217,0.5352561171103317,0.8715667347245769,0.3782248675389732,0.792514157556448,0.9345676963150074
2,AR,0.38239721165094087,0.1233406516307882,0.2576549791777157,0.4779232853915611,0.7981638344892293,0.45486087819569454,0.6562096051247964,0.9117067291001705
3,AZ,0.6778048245178323,,0.26711965044922187,0.6910325702080287,0.9445023503692184,,0.4483560299013316,0.9604827114016316
4,CA,0.7208080775904713,0.12851153197639406,0.26022572154236895,0.7245785037500727,0.9848852190677414,0.5637519992773697,0.9220779689063342,0.985705214837394
5,CO,0.7255282894124627,0.2686554610866825,0.41887215445344733,0.75138011507032,0.970753732703995,0.8183196296239351,0.9227235345620753,0.9770426864942683
6,CT,0.678324636124873,,,0.678324636124873,0.9923936901264852,,,0.9923936901264852
7,DC,0.658,,,0.658,0.9796,,,0.9796
8,DE,0.7495162138865441,,,0.7495162138865441,0.977954191399368,,,0.977954191399368
9,FL,0.7155428995137153,0.1180045630703838,0.280678730386212,0.732623812255117,0.9613688221770671,0.4870975309413676,0.6864579838067726,0.9723375744485485
10,GA,0.6499405370644674,0.2133925857200075,0.3332796090800994,0.7358548380816629,0.9339905231191649,0.6636567093048606,0.8127702159289261,0.969530446692426
11,HI,0.7358556628275654,0.221,,0.7358897288729469,0.9794625214566482,0.1977,,0.9795142477159794
12,IA,0.5000722972207768,0.278686902769827,0.39056101031888346,0.5606264011362849,0.9588453015160743,0.8907640671099566,0.9443381849741229,0.9702499538240065
13,ID,0.614022032313294,0.3094018091967502,0.26179639119883624,0.7105770072873435,0.9498176215129378,0.7463096272719659,0.9055979796912478,0.969999247737002
14,IL,0.6163550967715388,0.1946805001453911,0.3151511923355415,0.6405317851574492,0.9788924831528178,0.7875551195114858,0.8789277408158747,0.9872873383254772
15,IN,0.5076658011765318,0.15988896659983523,0.2736858010633941,0.5721915796046345,0.9603088232644982,0.7794372507421397,0.8883783620426909,0.9820001240815444
16,KS,0.5469069831671877,0.2873509571274318,0.31270996753599783,0.5962416343456192,0.9544498711234515,0.8056589362060679,0.9139454290995512,0.9700033295599668
17,KY,0.4512718007027291,0.19372224029805996,0.3272650789165624,0.5557058608403955,0.9406557636171358,0.8392232650917294,0.9037439203164737,0.9761697064333605
18,LA,0.43916538351584644,0.1016512646883091,0.18460071804864975,0.4973534340571378,0.8801355358880762,0.2869794045010954,0.6078717802972141,0.9486425075190378
19,MA,0.7346634758933348,,0.567,0.7365112218369345,0.979282460750296,,0.8236,0.9809981691585123
20,MD,0.7685609975429653,,0.6516426449827034,0.7751204369848674,0.9747852741760551,,0.94215432869593,0.9766159594886844
21,ME,0.5192082340568565,0.37383741729496844,0.4786265799166397,0.6310635170118344,0.9644397041918576,0.9163050565471611,0.9526510759385926,0.9977212812294542
22,MI,0.5919871648347288,0.19753198640941635,0.37931136959855716,0.6452866346546103,0.9567592400158403,0.7984401947579178,0.8712166276606488,0.9781904207726557
23,MN,0.6112910816046606,0.2972977473122663,0.4496237530619164,0.6579556638469463,0.9742224328021234,0.9218472062711845,0.9254352276988085,0.9865889738548517
24,MO,0.5095272456986034,0.15939613483832832,0.29397042324667333,0.5960612849064786,0.9291990989537856,0.5944603000607199,0.8636090977939848,0.9684739902499419
25,MS,0.31113965807939004,0.08271759094442707,0.2121151769021372,0.4100421320132409,0.7955284644240196,0.40351488640574257,0.6991073810035922,0.9198784709197193
26,MT,0.5277302567678881,0.23871432548858865,0.44602010952468807,0.6147821364800017,0.8636466799068135,0.6576681294034848,0.7819938874964565,0.933846572323051
27,NC,0.6044756629527843,0.24171715862530313,0.4328064835880672,0.6804607535619185,0.9517772414465007,0.6914976408980684,0.8909381007351105,0.982435923337399
28,ND,0.6055248434784285,0.4675760626326075,0.5829787251840286,0.6516137058198246,0.9722034332900676,0.9599871284574657,0.9914097033236672,0.9747061804494419
29,NE,0.5591044197113245,0.22912324536932183,0.3496300329447041,0.6299560100266471,0.9595216370874884,0.7734980670750906,0.9442332859876506,0.9850139575863952
30,NH,0.7611430590898387,,0.6321566720213598,0.8394688488524418,0.9670443146444659,,0.9374135046835135,0.9850373497564971
31,NJ,0.7714458439003405,,,0.7714458439003405,0.9853930701967003,,,0.9853930701967003
32,NM,0.44184392289944413,0.18031797168448424,0.22305605907654497,0.4662546226233647,0.8669372721484898,0.4505025570644322,0.6010510632461377,0.8977060730234683
33,NV,0.7373212388879159,0.07539574926015603,0.10956196581196581,0.7443039264602345,0.9692693448855441,0.41367021791767555,0.20417350427350428,0.9763820442327061
34,NY,0.6526815076626185,0.637,0.4831245741377354,0.6702332152602898,0.9868846880308502,0.8530000000000001,0.9429626106416306,0.9914670478294938
35,OH,0.5759443673750732,0.141,0.38728680803931453,0.6108543678934404,0.9711015223069313,0.6607,0.8903122680869352,0.9862221774968993
36,OK,0.4782794849109027,0.14153771498652867,0.30649427782971844,0.5761609900128779,0.872815072249971,0.6596438220041911,0.768718760750256,0.9325129619385428
37,OR,0.7093024230281118,0.2466084485407066,0.49218189118130834,0.7162114230305654,0.9476434307977343,0.6268666410650282,0.9032489476888007,0.9502389446790097
38,PA,0.6135075498849468,0.1911135296903931,0.38896466130659624,0.64229669609823,0.9578369875674472,0.6555587154975672,0.8395045876589042,0.9733362958018194
